Location,Amplitude
"SOUTH BEACH, OR",0.2
"SOUTH BEACH, OR",0.05
"SOUTH BEACH, OR",0.02
"SOUTH BEACH, OR",0.02
"SOUTH BEACH, OR",0.1
"SOUTH BEACH, OR",0.17
"SOUTH BEACH, OR",0.08
"SOUTH BEACH, OR",0.03
"SOUTH BEACH, OR",0.16
"SOUTH BEACH, OR",0.43
"SOUTH BEACH, OR",0.07
"SOUTH BEACH, OR",0.07
"SOUTH BEACH, OR",0.07
"SOUTH BEACH, OR",0.11
"SANTA MONICA, CA",0.48
"SANTA MONICA, CA",0.46
"SANTA MONICA, CA",1.4
"SANTA MONICA, CA",0.08
"SANTA MONICA, CA",0.2
"SANTA MONICA, CA",0.09
"SANTA MONICA, CA",0.13
"SANTA MONICA, CA",0.05
"SANTA MONICA, CA",0.1
"SANTA MONICA, CA",0.19
"SANTA MONICA, CA",0.1
"SANTA MONICA, CA",0.15
"SANTA MONICA, CA",0.11
"SANTA MONICA, CA",0.07
"SANTA MONICA, CA",0.15
"SANTA MONICA, CA",0.05
"SANTA MONICA, CA",0.64
"SANTA MONICA, CA",0.85
"SANTA MONICA, CA",0.08
"SANTA MONICA, CA",0.08
"SANTA MONICA, CA",0.12
"SANTA MONICA, CA",0.21
"SANTA BARBARA, CA",1.37
"SANTA BARBARA, CA",0.08
"SANTA BARBARA, CA",0.03
"SANTA BARBARA, CA",0.06
"SANTA BARBARA, CA",0.18
"SANTA BARBARA, CA",0.4
"SANTA BARBARA, CA",0.1
"SANTA BARBARA, CA",0.09
"SANTA BARBARA, CA",0.25
"SANTA BARBARA, CA",0.15
"SANTA BARBARA, CA",0.91
"SANTA BARBARA, CA",1.02
"SANTA BARBARA, CA",0.21
"SANTA BARBARA, CA",0.34
"SAN FRANCISCO, CA",0.18
"SAN FRANCISCO, CA",0.15
"SAN FRANCISCO, CA",0.54
"SAN FRANCISCO, CA",0.26
"SAN FRANCISCO, CA",0.2
"SAN FRANCISCO, CA",0.46
"SAN FRANCISCO, CA",0.1
"SAN FRANCISCO, CA",0.1
"SAN FRANCISCO, CA",0.1
"SAN FRANCISCO, CA",0.1
"SAN FRANCISCO, CA",0.05
"SAN FRANCISCO, CA",0.02
"SAN FRANCISCO, CA",0.04
"SAN FRANCISCO, CA",0.03
"SAN FRANCISCO, CA",0.08
"SAN FRANCISCO, CA",0.05
"SAN FRANCISCO, CA",0.16
"SAN FRANCISCO, CA",0.05
"SAN FRANCISCO, CA",0.1
"SAN FRANCISCO, CA",0.32
"SAN FRANCISCO, CA",0.62
"SAN FRANCISCO, CA",0.14
"SAN FRANCISCO, CA",0.05
"SAN FRANCISCO, CA",0.12
"SAN FRANCISCO, CA",0.05
"SAN FRANCISCO, CA",0.08
"SAN FRANCISCO, CA",0.07
"SAN DIEGO, CA",0.2
"SAN DIEGO, CA",0.2
"SAN DIEGO, CA",0.33
"SAN DIEGO, CA",0.23
"SAN DIEGO, CA",0.7
"SAN DIEGO, CA",0.1
"SAN DIEGO, CA",0.1
"SAN DIEGO, CA",0.1
"SAN DIEGO, CA",0.08
"SAN DIEGO, CA",0.05
"SAN DIEGO, CA",0.05
"SAN DIEGO, CA",0.16
"SAN DIEGO, CA",0.09
"SAN DIEGO, CA",0.1
"SAN DIEGO, CA",0.05
"SAN DIEGO, CA",0.4
"SAN DIEGO, CA",0.63
"SAN DIEGO, CA",0.05
"SAN DIEGO, CA",0.05
"SAN DIEGO, CA",0.12
"SAN DIEGO, CA",0.09
"PORT SAN LUIS, CA",0.12
"PORT SAN LUIS, CA",0.07
"PORT SAN LUIS, CA",0.15
"PORT SAN LUIS, CA",0.12
"PORT SAN LUIS, CA",0.07
"PORT SAN LUIS, CA",0.09
"PORT SAN LUIS, CA",0.05
"PORT SAN LUIS, CA",0.14
"PORT SAN LUIS, CA",0.03
"PORT SAN LUIS, CA",0.27
"PORT SAN LUIS, CA",0.56
"PORT SAN LUIS, CA",0.11
"PORT SAN LUIS, CA",0.09
"PORT SAN LUIS, CA",0.08
"PORT SAN LUIS, CA",0.08
"PORT SAN LUIS, CA",0.28
"PORT SAN LUIS, CA",0.08
"PORT SAN LUIS, CA",0.8
"PORT SAN LUIS, CA",2.02
"PORT SAN LUIS, CA",0.27
"PORT SAN LUIS, CA",0.14
"PORT SAN LUIS, CA",0.22
"PORT SAN LUIS, CA",0.29
"PORT SAN LUIS, CA",0.16
"PORT SAN LUIS, CA",0.14
"PORT SAN LUIS, CA",0.21
"PORT SAN LUIS, CA",0.16
"PORT ORFORD, OR",0.05
"PORT ORFORD, OR",0.18
"PORT ORFORD, OR",0.05
"PORT ORFORD, OR",0.04
"PORT ORFORD, OR",0.04
"PORT ORFORD, OR",0.06
"PORT ORFORD, OR",0.04
"PORT ORFORD, OR",0.11
"PORT ORFORD, OR",0.06
"PORT ORFORD, OR",0.55
"PORT ORFORD, OR",0.27
"PORT ORFORD, OR",0.03
"PORT ORFORD, OR",0.22
"PORT ORFORD, OR",0.32
"PORT ORFORD, OR",2.02
"PORT ORFORD, OR",0.23
"PORT ORFORD, OR",0.08
"PORT ORFORD, OR",0.13
"PORT ORFORD, OR",0.16
